Name,Category,Popularity,Latitude,Longitude
National Palace of Pena,,Tier I,38.78756595,-9.390637113
NTR Gardens.,,Tier I,17.4131154,78.46975412
Nehru Zoological Park,,Tier I,17.3507139,78.4517839
City Palace,,Tier I,24.57584195,73.68347426
Castelo de São Jorge,,Tier I,38.71390869,-9.133477604
Warner Bros Studio Tour: The Making of Harry Potter,,Tier I,51.69013846,-0.417981081
Jallianwala Bagh,,Tier I,31.62078475,74.88018207
Science City,,Tier I,22.54013157,88.39606226
Nandankanan Zoological Park,,Tier I,20.39576995,85.82592626
Cologne Cathedral,,Tier I,50.94131891,6.958259944
Sistine Chapel,,Tier I,41.90297027,12.45448035
Millennium Park,,Tier I,41.88255042,-87.62254943
9/11 Memorial & Museum,,Tier I,40.71160994,-74.01330544
Tokyo Tower,,Tier I,35.65860926,139.7453667
The Metropolitan Museum of Art,,Tier I,40.77943796,-73.96324357
Diocletian's Palace,,Tier I,43.5082673,16.44016519
Galeries Lafayette Haussmann,,Tier I,48.87361172,2.332093935
Big Ben,,Tier I,51.5007368,-0.124641866
Amalfi Coast,,Tier I,40.63334048,14.60289017
Palace Square,,Tier I,59.93894733,30.31496834
Brooklyn Bridge,,Tier I,40.70609739,-73.99685924
Tivoli Gardens,,Tier I,55.67368452,12.56814594
Statue Of Unity,,Tier I,21.83831974,73.71922186
Magic Fountain of Montjuïc,,Tier I,41.37113546,2.1517546
Plaza de Bolívar,,Tier I,4.598234106,-74.07605976
Osaka Castle,,Tier I,34.68732457,135.5258049
Osaka Castle,,Tier I,34.68729129,135.5258287
Sydney Opera House,,Tier I,-33.85679106,151.2152862
Feroz Shah Kotla Fort,Closes at 7 PM,Tier I,28.63501004,77.24265049
Museo Nacional de Antropología,,Tier I,19.42608874,-99.18626925
Museo Nacional de Antropología,,Tier I,19.4260532,-99.18634197
Gorky Central Park of Culture and Leisure,,Tier I,55.72834052,37.60127532
Gandhi Maidan,,Tier I,25.6175698,85.14513083
Golden Gate Bridge,,Tier I,37.81994288,-122.4785805
Historic Sanctuary of Machu Picchu,,Tier I,-13.16331891,-72.54520937
Parthenon,,Tier I,37.97155314,23.72670663
Teatro Colón,,Tier I,-34.60116103,-58.38332969
Heroes' Square,,Tier I,47.51493471,19.07786471
Magic Water Circuit of the Reserve Park,,Tier I,-12.07033694,-77.03304179
Belvedere Palace,,Tier I,48.19147311,16.38092716
Rhine Falls,,Tier I,47.67795029,8.615570949
Fushimi Inari Taisha,,Tier I,34.96769495,135.7791868
Madame Tussauds London,,Tier I,51.52325053,-0.15390285
Rhine Falls,,Tier I,47.67807944,8.615422435
Jamuna Future Park,,Tier I,23.81361939,90.42417034
Peterhof,,Tier I,59.88629324,29.90855175
Archaeological Park of Pompeii,,Tier I,40.75121377,14.48868072
Dotonbori,,Tier I,34.66871444,135.5012866
Victoria Memorial,,Tier I,22.54469465,88.34248182
Acropolis Museum,,Tier I,37.96844912,23.72850917
Lumbini Park,,Tier I,17.40935827,78.47201407
Notre-Dame Cathedral of Paris,,Tier I,48.8530016,2.34986434
Notre-Dame Cathedral of Paris,,Tier I,48.85298824,2.349874604
Notre-Dame Cathedral of Paris,,Tier I,48.85299494,2.349862578
Emporium Mall,,Tier I,31.46788474,74.26598745
"Dubai Aquarium & Underwater Zoo
",,Tier I,25.19750365,55.2785005
Nahargarh Fort,,Tier I,26.94013237,75.8170337
Salar Jung Museum,,Tier I,17.37157735,78.48022882
Cyber Hub,Visited,Tier I,28.4950471,77.08909928
Anne Frank House,,Tier I,52.37525069,4.883991183
Batu Caves,,Tier I,3.237788491,101.6840845
Science Museum,,Tier I,51.49764603,-0.175783968
The Grand Palace,,Tier I,13.72385816,100.5373986
Monument to Victor Emmanuel II,,Tier I,41.89457986,12.48313007
Quest Mall,,Tier I,22.53895231,88.36574712
Puerto Vallarta Malecon,,Tier I,20.61117781,-105.2346303
"Shah Faisal Masjid, Islamabad",,Tier I,33.72993407,73.03720506
St. Stephen's Basilica,,Tier I,47.50088352,19.05398917
Gurudwara Sis Ganj Sahib,Spare it,Tier I,28.65595726,77.2325063
Peleș Castle,,Tier I,45.35995943,25.5426564
Top of The Rock,,Tier I,40.75937358,-73.9794294
Parque das Aves,,Tier I,-25.61391072,-54.48256844
Mehrangarh Fort,,Tier I,26.29816875,73.0186099
Keukenhof,,Tier I,52.26972167,4.546916285
Tulum,,Tier I,20.21495868,-87.42942573
Mandalay Bay Beach,,Tier I,36.0921929,-115.1748998
Nara Park,,Tier I,34.68504791,135.8430123
Heide Park Resort,,Tier I,53.02366816,9.878197294
UB City,,Tier I,12.97157981,77.5959142
English Garden,,Tier I,48.16423313,11.60554024
Sinhagad Fort,,Tier I,18.36634062,73.75588644
Knott's Berry Farm,,Tier I,33.84430044,-118.0002209
The High Line,,Tier I,40.74799155,-74.00476989
N Seoul Tower,,Tier I,37.55120977,126.988252
Victoria and Albert Museum,,Tier I,51.49663267,-0.172159183
Panthéon,,Tier I,48.8462152,2.34635891
The Alamo,,Tier I,29.42602265,-98.48618691
San Diego Zoo,,Tier I,32.7360353,-117.1509823
"The STRAT Hotel, Casino & Tower",,Tier I,36.14754611,-115.1565446
Sanjay Gandhi National Park,,Tier I,19.22046314,72.91279904
Lotus Temple,Spare it,Tier I,28.55348255,77.25884786
Marina Beach,,Tier I,13.04790577,80.282153
Buda Castle,,Tier I,47.49621924,19.03952369
Stonehenge,,Tier I,51.17890215,-1.826178826
"Wonderla Amusement Park, Hyderabad",,Tier I,17.21725771,78.52847044
Kinkaku-ji,,Tier I,35.03936712,135.7292454
Windsor Castle,,Tier I,51.48402755,-0.603834061
Széchenyi Thermal Bath,,Tier I,47.51865413,19.08238703
Hong Kong Disneyland,,Tier I,22.31296264,114.0412768
East Side Gallery,,Tier I,52.50501916,13.43969282
The Egyptian Museum in Cairo,,Tier I,30.04832594,31.23364594
Jaisalmer Fort,,Tier I,26.91242755,70.91261066
Darling Harbour,,Tier I,-33.87489392,151.2008902
Heidelberg Castle,,Tier I,49.41061125,8.715315323
Széchenyi Chain Bridge,,Tier I,47.49897505,19.04370981
Château de Chambord,,Tier I,47.61584508,1.51689293
Kazan Kremlin,,Tier I,55.79932066,49.10599527
Khan Market,Visited,Tier I,28.60017198,77.22695283
Tsaritsyno Museum-Reserve,,Tier I,55.61168122,37.68611349
Vienna State Opera,,Tier I,48.20342528,16.36920209
Sheikh Zayed Grand Mosque,,Tier I,24.41282148,54.47495682
Sheikh Zayed Grand Mosque,,Tier I,24.41678662,54.46836625
